customer_id,full_name,date_of_birth,email,phone,country_code,customer_segment,kyc_status,onboarded_date,relationship_manager_id,last_updated_ts
CUST000001,Customer 1,1959-12-28,customer1@example.com,+447639362057,GB,RETAIL,VERIFIED,2023-07-11,RM0009,2025-12-22 21:33:00+00:00
CUST000002,Customer 2,1952-03-30,customer2@example.com,+447340696084,SG,RETAIL,VERIFIED,2016-12-03,RM0019,2026-02-24 23:36:00+00:00
CUST000003,Customer 3,1974-09-04,customer3@example.com,+447810943524,SG,RETAIL,VERIFIED,2021-08-16,RM0004,2026-01-11 18:14:00+00:00
CUST000004,Customer 4,1971-12-21,customer4@example.com,+447957161300,AE,PRIVATE_BANKING,VERIFIED,2020-07-11,,2025-11-16 10:33:00+00:00
CUST000005,Customer 5,1970-01-10,customer5@example.com,+447475209597,FR,RETAIL,VERIFIED,2016-08-25,RM0002,2025-06-19 22:44:00+00:00
CUST000006,Customer 6,1962-07-09,customer6@example.com,+447657830420,DE,CORPORATE,VERIFIED,2016-11-03,RM0001,2025-09-25 03:27:00+00:00
CUST000007,Customer 7,1959-03-13,customer7@example.com,+447875106572,GB,CORPORATE,VERIFIED,2021-01-04,,2025-11-08 23:15:00+00:00
CUST000008,Customer 8,1998-12-05,customer8@example.com,+447772314530,GB,CORPORATE,FAILED,2018-06-17,RM0013,2025-05-08 11:42:00+00:00
CUST000009,Customer 9,1957-10-19,customer9@example.com,+447957799499,DE,RETAIL,VERIFIED,2023-07-10,RM0006,2025-11-23 20:24:00+00:00
CUST000010,Customer 10,1987-11-08,customer10@example.com,+447542001424,US,RETAIL,VERIFIED,2018-06-17,RM0002,2024-06-01 17:57:00+00:00
CUST000011,Customer 11,1952-11-07,customer11@example.com,+447458209399,US,RETAIL,VERIFIED,2023-09-27,RM0014,2025-09-19 01:00:00+00:00
CUST000012,Customer 12,1952-09-03,customer12@example.com,+447891816852,GB,RETAIL,VERIFIED,2022-02-07,,2025-10-20 05:32:00+00:00
CUST000013,Customer 13,1958-05-29,customer13@example.com,+447973727854,AE,CORPORATE,VERIFIED,2023-02-02,,2025-04-25 15:55:00+00:00
CUST000014,Customer 14,1969-08-13,customer14@example.com,+447588273030,AE,RETAIL,VERIFIED,2017-05-22,RM0011,2024-06-18 02:48:00+00:00
CUST000015,Customer 15,1970-11-15,customer15@example.com,+447478796089,FR,RETAIL,PENDING,2017-01-19,,2025-05-18 10:15:00+00:00
CUST000016,Customer 16,1995-05-04,customer16@example.com,+447963369870,AE,CORPORATE,VERIFIED,2015-02-12,,2024-12-04 08:03:00+00:00
CUST000017,Customer 17,1952-05-19,customer17@example.com,+447170894498,AE,RETAIL,VERIFIED,2021-11-30,RM0017,2025-06-03 07:35:00+00:00
CUST000018,Customer 18,2000-05-08,customer18@example.com,+447798493949,SG,CORPORATE,VERIFIED,2024-12-22,RM0002,2025-10-20 12:25:00+00:00
CUST000019,Customer 19,1967-11-03,customer19@example.com,+447925023116,US,CORPORATE,VERIFIED,2023-01-27,,2026-04-16 07:05:00+00:00
